ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Frecuencia_Correctivo,Frecuencia_Preventivo
1,465,2020-01-01 00:00:00,Correctivo,1405.2,47,Planta Norte,15,11
2,418,2020-01-01 01:00:00,Correctivo,5922.92,38,Planta Norte,16,9
3,228,2020-01-01 02:00:00,Correctivo,7119.05,34,Planta Oeste,7,5
4,300,2020-01-01 03:00:00,Correctivo,3488.33,38,Planta Oeste,12,4
5,325,2020-01-01 04:00:00,Correctivo,5611.37,15,Planta Este,12,4
6,449,2020-01-01 05:00:00,Preventivo,7996.45,32,Planta Norte,11,12
7,234,2020-01-01 06:00:00,Preventivo,8648.28,5,Planta Este,9,7
8,487,2020-01-01 07:00:00,Correctivo,2329.24,6,Planta Sur,11,12
9,191,2020-01-01 08:00:00,Correctivo,1743.03,33,Planta Este,9,10
10,444,2020-01-01 09:00:00,Preventivo,8899.57,30,Planta Norte,12,12
11,335,2020-01-01 10:00:00,Correctivo,2993.12,38,Planta Oeste,8,18
12,86,2020-01-01 11:00:00,Correctivo,7790.27,32,Planta Oeste,8,9
13,275,2020-01-01 12:00:00,Correctivo,5323.28,3,Planta Norte,8,16
14,161,2020-01-01 13:00:00,Correctivo,4986.48,17,Planta Oeste,11,9
15,81,2020-01-01 14:00:00,Correctivo,7579.6,30,Planta Este,10,11
16,323,2020-01-01 15:00:00,Correctivo,6776.04,23,Planta Sur,12,11
17,245,2020-01-01 16:00:00,Correctivo,1809.27,32,Planta Este,14,9
18,235,2020-01-01 17:00:00,Preventivo,2335.5,34,Planta Sur,14,10
19,60,2020-01-01 18:00:00,Correctivo,7485.46,30,Planta Este,13,12
20,288,2020-01-01 19:00:00,Preventivo,4010.69,37,Planta Este,13,8
21,90,2020-01-01 20:00:00,Preventivo,1032.27,33,Planta Este,11,7
22,421,2020-01-01 21:00:00,Preventivo,7897.3,41,Planta Sur,14,16
23,28,2020-01-01 22:00:00,Correctivo,7709.88,28,Planta Sur,10,4
24,37,2020-01-01 23:00:00,Correctivo,8790.4,41,Planta Oeste,15,11
25,180,2020-01-02 00:00:00,Correctivo,2385.93,45,Planta Sur,10,9
26,101,2020-01-02 01:00:00,Correctivo,1160.32,22,Planta Este,15,14
27,312,2020-01-02 02:00:00,Correctivo,9958.21,42,Planta Norte,17,11
28,80,2020-01-02 03:00:00,Correctivo,1774.68,38,Planta Oeste,12,11
29,161,2020-01-02 04:00:00,Correctivo,6932.58,19,Planta Este,11,9
30,280,2020-01-02 05:00:00,Preventivo,5015.62,19,Planta Oeste,10,9
31,154,2020-01-02 06:00:00,Correctivo,5268.85,42,Planta Sur,7,10
32,56,2020-01-02 07:00:00,Correctivo,8712.08,2,Planta Sur,8,8
33,253,2020-01-02 08:00:00,Preventivo,8159.21,8,Planta Oeste,8,10
34,256,2020-01-02 09:00:00,Preventivo,4093.62,21,Planta Oeste,8,10
35,445,2020-01-02 10:00:00,Preventivo,9547.35,2,Planta Oeste,8,12
36,431,2020-01-02 11:00:00,Preventivo,4495.71,13,Planta Este,10,5
37,146,2020-01-02 12:00:00,Correctivo,3327.77,40,Planta Oeste,16,7
38,476,2020-01-02 13:00:00,Preventivo,7040.92,7,Planta Oeste,6,16
39,404,2020-01-02 14:00:00,Preventivo,5765.08,30,Planta Este,12,14
40,110,2020-01-02 15:00:00,Correctivo,7910.57,42,Planta Oeste,12,11
41,37,2020-01-02 16:00:00,Correctivo,1427.58,40,Planta Sur,15,11
42,314,2020-01-02 17:00:00,Preventivo,2847.15,23,Planta Sur,4,11
43,253,2020-01-02 18:00:00,Correctivo,6496.23,15,Planta Oeste,8,10
44,428,2020-01-02 19:00:00,Correctivo,3517.46,41,Planta Sur,17,10
45,252,2020-01-02 20:00:00,Correctivo,4464.06,24,Planta Norte,7,13
46,222,2020-01-02 21:00:00,Correctivo,6902.62,1,Planta Oeste,13,12
47,410,2020-01-02 22:00:00,Preventivo,1330.62,17,Planta Oeste,9,16
48,267,2020-01-02 23:00:00,Preventivo,1352.59,16,Planta Norte,7,10
49,293,2020-01-03 00:00:00,Correctivo,6009.47,29,Planta Este,14,9
50,399,2020-01-03 01:00:00,Preventivo,5868.65,15,Planta Sur,6,11
51,319,2020-01-03 02:00:00,Preventivo,8432.83,28,Planta Norte,15,17
52,357,2020-01-03 03:00:00,Correctivo,9450.34,5,Planta Oeste,12,10
53,444,2020-01-03 04:00:00,Correctivo,7364.87,16,Planta Oeste,12,12
54,35,2020-01-03 05:00:00,Preventivo,3826.04,16,Planta Norte,10,6
55,157,2020-01-03 06:00:00,Preventivo,387.3,35,Planta Norte,14,11
56,482,2020-01-03 07:00:00,Correctivo,1168.01,7,Planta Este,6,10
57,292,2020-01-03 08:00:00,Preventivo,3117.66,33,Planta Oeste,12,8
58,131,2020-01-03 09:00:00,Preventivo,3687.35,13,Planta Este,10,11
59,384,2020-01-03 10:00:00,Correctivo,6203.0,17,Planta Este,10,14
60,318,2020-01-03 11:00:00,Preventivo,7156.29,15,Planta Oeste,6,12
61,393,2020-01-03 12:00:00,Correctivo,9267.42,5,Planta Sur,17,9
62,252,2020-01-03 13:00:00,Correctivo,6264.99,38,Planta Norte,7,13
63,334,2020-01-03 14:00:00,Correctivo,1236.67,28,Planta Sur,12,16
64,248,2020-01-03 15:00:00,Correctivo,9706.1,40,Planta Oeste,11,10
65,156,2020-01-03 16:00:00,Preventivo,1142.0,34,Planta Norte,14,9
66,40,2020-01-03 17:00:00,Correctivo,6625.92,23,Planta Norte,7,13
67,389,2020-01-03 18:00:00,Preventivo,6890.85,1,Planta Sur,13,11
68,408,2020-01-03 19:00:00,Correctivo,883.04,44,Planta Oeste,8,17
69,483,2020-01-03 20:00:00,Correctivo,8477.28,25,Planta Oeste,18,12
70,208,2020-01-03 21:00:00,Correctivo,7156.86,22,Planta Oeste,5,8
71,430,2020-01-03 22:00:00,Correctivo,7627.24,6,Planta Oeste,15,10
72,427,2020-01-03 23:00:00,Correctivo,4231.94,9,Planta Oeste,15,10
73,72,2020-01-04 00:00:00,Preventivo,2542.48,20,Planta Norte,8,11
74,15,2020-01-04 01:00:00,Preventivo,9501.02,46,Planta Este,11,10
75,88,2020-01-04 02:00:00,Preventivo,678.13,3,Planta Sur,11,10
76,331,2020-01-04 03:00:00,Preventivo,1834.73,27,Planta Este,12,9
77,421,2020-01-04 04:00:00,Preventivo,5594.53,19,Planta Sur,14,16
78,116,2020-01-04 05:00:00,Correctivo,1912.36,11,Planta Este,8,12
79,40,2020-01-04 06:00:00,Correctivo,2851.01,26,Planta Norte,7,13
80,153,2020-01-04 07:00:00,Correctivo,8557.57,14,Planta Sur,13,15
81,151,2020-01-04 08:00:00,Preventivo,9303.15,46,Planta Este,7,11
82,327,2020-01-04 09:00:00,Preventivo,1267.99,20,Planta Oeste,10,11
83,480,2020-01-04 10:00:00,Correctivo,2942.88,37,Planta Sur,6,10
84,57,2020-01-04 11:00:00,Preventivo,9271.98,40,Planta Sur,9,14
85,189,2020-01-04 12:00:00,Preventivo,8109.43,17,Planta Norte,7,7
86,279,2020-01-04 13:00:00,Correctivo,1944.33,39,Planta Sur,9,9
87,372,2020-01-04 14:00:00,Correctivo,4863.24,37,Planta Sur,15,9
88,425,2020-01-04 15:00:00,Preventivo,709.16,39,Planta Sur,10,10
89,51,2020-01-04 16:00:00,Correctivo,4490.9,31,Planta Oeste,15,12
90,489,2020-01-04 17:00:00,Preventivo,640.86,38,Planta Oeste,17,12
91,171,2020-01-04 18:00:00,Correctivo,1860.19,29,Planta Oeste,13,7
92,369,2020-01-04 19:00:00,Correctivo,1576.01,23,Planta Norte,6,10
93,35,2020-01-04 20:00:00,Preventivo,9239.49,15,Planta Norte,10,6
94,255,2020-01-04 21:00:00,Correctivo,3647.39,37,Planta Norte,12,12
95,305,2020-01-04 22:00:00,Preventivo,7542.4,26,Planta Oeste,9,10
96,367,2020-01-04 23:00:00,Preventivo,1024.07,46,Planta Sur,8,11
97,72,2020-01-05 00:00:00,Correctivo,4247.8,32,Planta Este,8,11
98,488,2020-01-05 01:00:00,Preventivo,8301.75,3,Planta Oeste,11,23
99,69,2020-01-05 02:00:00,Preventivo,5319.57,28,Planta Norte,5,10
100,25,2020-01-05 03:00:00,Preventivo,6412.11,19,Planta Norte,7,11
101,89,2020-01-05 04:00:00,Correctivo,2426.28,41,Planta Norte,19,8
102,368,2020-01-05 05:00:00,Correctivo,6252.8,29,Planta Norte,12,9
103,312,2020-01-05 06:00:00,Correctivo,1945.83,24,Planta Norte,17,11
104,311,2020-01-05 07:00:00,Preventivo,4236.56,47,Planta Norte,16,11
105,169,2020-01-05 08:00:00,Preventivo,937.37,3,Planta Norte,11,10
106,361,2020-01-05 09:00:00,Preventivo,3819.54,45,Planta Sur,8,10
107,416,2020-01-05 10:00:00,Preventivo,6410.17,47,Planta Sur,8,16
108,406,2020-01-05 11:00:00,Preventivo,3101.19,2,Planta Sur,10,10
109,154,2020-01-05 12:00:00,Correctivo,5964.62,32,Planta Oeste,7,10
110,440,2020-01-05 13:00:00,Preventivo,4787.5,26,Planta Norte,11,10
111,78,2020-01-05 14:00:00,Correctivo,7341.75,19,Planta Norte,10,4
112,100,2020-01-05 15:00:00,Preventivo,4655.94,15,Planta Oeste,12,10
113,202,2020-01-05 16:00:00,Correctivo,5533.5,15,Planta Este,10,8
114,378,2020-01-05 17:00:00,Correctivo,5857.89,2,Planta Este,11,12
